Resumo;Datacontrato ;Marca;Modelo;Datafinalizacao;prazo
19897;17/07/2024;BMW;SERIE 3 SEDAN;03/07/2024 14:01;22
19369;16/07/2024;VOLKSWAGEN;TAOS SUV;29/06/2024 16:15;22
19425;16/07/2024;VOLVO;XC40 BEV SUV;29/06/2024 13:54;22
19575;16/07/2024;JEEP;COMMANDER SUV;02/07/2024 17:08;22
19799;16/07/2024;JEEP;COMPASS SUV;28/06/2024 18:42;22
19814;15/07/2024;TOYOTA;COROLLA CROSS;28/06/2024 20:40;22
19469;15/07/2024;JEEP;COMMANDER SUV;03/07/2024 09:44;22
18530;12/07/2024;GWM;HAVAL H6 SUV;29/06/2024 16:15;22
19729;12/07/2024;VOLKSWAGEN;NIVUS SUV;28/06/2024 18:13;22
19742;12/07/2024;VOLVO;XC60 SUV;02/07/2024 16:53;22
19780;12/07/2024;VOLVO;XC40 BEV SUV;02/07/2024 18:06;22
19693;12/07/2024;VOLKSWAGEN;TAOS SUV;28/06/2024 13:09;22
19766;11/07/2024;JEEP;COMPASS SUV;28/06/2024 16:24;22
19697;11/07/2024;VOLKSWAGEN;T-CROSS SUV;27/06/2024 21:45;22
19514;11/07/2024;VOLVO;XC90 SUV;02/07/2024 16:50;22
19733;10/07/2024;TOYOTA;COROLLA CROSS;28/06/2024 17:41;22
19631;10/07/2024;VOLKSWAGEN;TAOS SUV;28/06/2024 20:01;22
19686;10/07/2024;JEEP;COMPASS SUV;29/06/2024 13:05;22
19659;10/07/2024;VOLKSWAGEN;TAOS SUV;29/06/2024 16:14;22
18881;10/07/2024;VOLVO;XC60 SUV;01/07/2024 10:01;22
19188;10/07/2024;VOLVO;XC90 SUV;26/06/2024 16:05;22
19189;10/07/2024;VOLVO;XC90 SUV;02/07/2024 16:50;22
19392;10/07/2024;VOLVO;XC60 SUV;28/06/2024 18:14;22
19588;10/07/2024;VOLVO;XC60 SUV;27/06/2024 19:54;22
19597;10/07/2024;VOLVO;XC40 BEV SUV;26/06/2024 20:22;22
19612;09/07/2024;JEEP;COMPASS SUV;28/06/2024 18:22;22
19420;09/07/2024;VOLVO;XC60 SUV;28/06/2024 12:02;22
19512;09/07/2024;VOLVO;XC60 SUV;27/06/2024 21:44;22
19522;09/07/2024;VOLVO;C40 COUPE;03/07/2024 15:26;22
19637;09/07/2024;MINI;COOPER 02 PORTAS HATCH;28/06/2024 15:29;22
19658;09/07/2024;BMW;X3 SUV;28/06/2024 20:02;22
19682;09/07/2024;BMW;X3 SUV;29/06/2024 16:15;22
19724;09/07/2024;VOLKSWAGEN;TIGUAN ALLSPACE SUV;28/06/2024 20:07;22
19778;09/07/2024;VOLVO;XC60 SUV;29/06/2024 10:56;22
19421;09/07/2024;VOLVO;XC90 SUV;26/06/2024 19:28;22
19281;09/07/2024;LEXUS;NX 350 H SUV;03/07/2024 09:44;22
19562;05/07/2024;BMW;X3 SUV;27/06/2024 21:44;22
19573;05/07/2024;VOLKSWAGEN;TAOS SUV;28/06/2024 13:09;22
19755;05/07/2024;BYD;SONG PLUS SUV;27/06/2024 19:20;22
19614;05/07/2024;VOLKSWAGEN;TIGUAN ALLSPACE SUV;29/06/2024 09:37;22
19574;05/07/2024;VOLKSWAGEN;TAOS SUV;29/06/2024 09:37;22
19507;05/07/2024;VOLVO;XC60 SUV;29/06/2024 16:15;22
19666;05/07/2024;VOLVO;XC60 SUV;26/06/2024 14:48;22
19648;05/07/2024;TOYOTA;COROLLA CROSS;28/06/2024 14:43;22
19628;04/07/2024;BMW;X4 SUV;28/06/2024 19:02;22
19287;04/07/2024;VOLVO;XC60 SUV;28/06/2024 15:51;22
19306;04/07/2024;VOLVO;XC60 SUV;25/06/2024 19:53;22
19367;04/07/2024;VOLVO;XC90 SUV;28/06/2024 14:22;22
19533;04/07/2024;BMW;X5 SUV;02/07/2024 09:11;22
19644;03/07/2024;TOYOTA;COROLLA CROSS;27/06/2024 17:33;22
19645;03/07/2024;TOYOTA;COROLLA CROSS;24/06/2024 15:19;22
19600;03/07/2024;CHEVROLET;TRACKER SUV;27/06/2024 20:14;22
19601;03/07/2024;CHEVROLET;TRACKER SUV;28/06/2024 20:41;22
19599;03/07/2024;CHEVROLET;TRACKER SUV;26/06/2024 19:25;22
19685;03/07/2024;TOYOTA;COROLLA CROSS;21/06/2024 12:54;22
19634;03/07/2024;TOYOTA;COROLLA CROSS;25/06/2024 20:25;22
19690;03/07/2024;TOYOTA;COROLLA SEDAN;26/06/2024 18:10;22
19647;03/07/2024;BMW;X5 SUV;28/06/2024 19:15;22
19505;03/07/2024;VOLVO;XC90 SUV;21/06/2024 17:49;22
19405;03/07/2024;VOLVO;XC60 SUV;25/06/2024 17:27;22
19446;03/07/2024;VOLVO;XC60 SUV;29/06/2024 13:13;22
19511;03/07/2024;VOLVO;XC60 SUV;27/06/2024 19:51;22
19670;03/07/2024;VOLKSWAGEN;TAOS SUV;27/06/2024 18:31;22
19669;03/07/2024;VOLKSWAGEN;TAOS SUV;25/06/2024 15:23;22
19671;03/07/2024;VOLKSWAGEN;TAOS SUV;25/06/2024 18:40;22
